50635;99058;Alchemilla demissa
50701;226;Alchemilla effusa
50662;193;Alchemilla exigua
50649;179;Alchemilla fallax
50694;227;Alchemilla filicaulis
50638;180;Alchemilla fissa
50636;177;Alchemilla fissa agg.
50664;194;Alchemilla flabellata
50687;32104;Alchemilla frigens
50732;235;Alchemilla glabra
50737;32102;Alchemilla glabricaulis
50657;195;Alchemilla glaucescens
50688;236;Alchemilla glomerulans
50683;11684;Alchemilla hirtipes
50610;166;Alchemilla hoppeana
50652;190;Alchemilla hybrida agg.
50726;240;Alchemilla impexa
50647;183;Alchemilla incisa
50714;242;Alchemilla lineata
50685;29866;Alchemilla longituba
50712;26139;Alchemilla lunaria
50678;20278;Alchemilla micans
50627;200;Alchemilla mollis
50705;245;Alchemilla monticola
50613;10027;Alchemilla nitida
50748;248;Alchemilla obscura
50668;250;Alchemilla obtusa
50643;185;Alchemilla othmarii
50618;172;Alchemilla pallens
50660;198;Alchemilla plicata
50722;252;Alchemilla propinqua
50704;29549;Alchemilla racemulosa
50729;254;Alchemilla reniformis
50724;256;Alchemilla rubristipula
50728;33588;Alchemilla sarmatica
50738;259;Alchemilla semisecta
50641;26759;Alchemilla sericoneura
50630;90130;Alchemilla speciosa
50623;208;Alchemilla splendens
50621;202;Alchemilla splendens agg.
50734;262;Alchemilla straminea
50720;263;Alchemilla strigosula
50692;265;Alchemilla subcrenata
50716;266;Alchemilla subglobosa
50718;267;Alchemilla tenuis
50750;268;Alchemilla tirolensis
50681;270;Alchemilla undulata
50752;271;Alchemilla versipila
50670;26467;Alchemilla vulgaris
50666;209;Alchemilla vulgaris agg.
50675;273;Alchemilla xanthochlora
42185;60901;Aldrovanda
42187;274;Aldrovanda vesiculosa
60503;94870;Alectoria sarmentosa subsp. vexillifera
55492;99000;Algen
37233;61313;Alisma
37239;276;Alisma gramineum
37242;277;Alisma lanceolatum
37235;275;Alisma plantago-aquatica agg.
37237;278;Alisma plantago-aquatica s. str.
37211;60478;Alismataceae
37008;60472;Alismatales
33517;99901;Alleniella
33518;99192;Alleniella besseri
33523;99193;Alleniella complanata
53122;60828;Alliaria
53124;280;Alliaria petiolata
38043;61451;Allium
38084;282;Allium ampeloprasum
38046;284;Allium angulosum
38090;285;Allium atropurpureum
38096;287;Allium carinatum
38101;10030;Allium cepa
38105;20319;Allium cirrhosum
38103;27133;Allium fistulosum
38045;290;Allium flavum
38092;12708;Allium lusitanicum
38088;300;Allium oleraceum
38077;307;Allium paradoxum
38085;310;Allium rotundum
38087;29867;Allium rotundum subsp. rotundum
38057;7186;Allium sativum
38058;34201;Allium sativum var. sativum
38071;311;Allium schoenoprasum
38081;312;Allium scorodoprasum
38065;315;Allium sphaerocephalon
38080;313;Allium sphaerocephalon agg.
38067;26140;Allium sphaerocephalon subsp. sphaerocephalon
38068;316;Allium strictum
38099;317;Allium suaveolens
38062;320;Allium ursinum
38063;90141;Allium ursinum subsp. ucrainicum
38064;26141;Allium ursinum subsp. ursinum
38060;321;Allium victorialis
38051;26922;Allium vineale s. l.
38049;12715;Allium x proliferum
49189;60621;Alnus
49197;11767;Alnus alnobetula
49201;29655;Alnus alnobetula subsp. alnobetula
49193;325;Alnus glutinosa
49203;326;Alnus incana
49206;29656;Alnus incana subsp. incana
49196;327;Alnus rugosa
49208;90151;Alnus x aschersoniana
